"campaign_id","product_name","short_description","long_description"
"51831d3f-cb5f-4ce1-94df-f56b7b9fea23",Beyond Body - Personalized Wellness Book,"Embark on a personalized wellness journey with Beyond Body – tailored 28-day meal plans, custom workout routines, mindfulness techniques, and habit-building strategies designed to boost health and confidence.","Beyond Body is more than just a wellness book, it's a personalized journey towards better health and self-confidence. It crafts a unique 28-day meal plan, a tailored workout routine, mindfulness techniques, and habit-building strategies for each individual reader. Our target audience is predominantly women over the age of 25, who are interested in losing weight and living a healthier lifestyle, but lack the educational resources. With Beyond Body, we eliminate trial and error, and offer a customized path to wellness."
aff29b17-7d00-43a9-accc-28342c15faa0,Better In Person Dating App,Seeking creators to create UGC-style videos highlighting how our dating app stands out and showcasing its key features.,"Better in Person is a dating app for intentional people that prefer to meet in real life instead of endless chatting. No penpals, no f*ckboys and no catfish allowed. It features a verification video on every profile so there are no catfishing, and it effortlessly turns matches into real dates. In general, talk about this new app you've just discovered or using — explain how it's different and why others should give it a try. Call to action: Encourage viewers to download the app for FREE and explore its benefits."
bfe17c54-6a0b-4357-9c42-f2c47d647312,ISM,"Play around with Ism Lens for that cool twist, and breeze through edits with our easy copy-paste. It’s all about your vibe, your vision. Ready to remix your pics? ","Unlock the potential of your creativity with ISM, a tool featuring over 300 professionally curated preset filters for your pictures. Perfect for individuals of any experience level, ISM takes the complexity out of photo and video editing with its one click selection. Choose various styles from professional photographers around the globe. Whether you're after a soft and dreamy look or an urban, artsy flair, ISM has you covered. Explore a world of limitless possibilities with ISM’s intuitive UI, frequent updates, and unlimited access to exclusive filters and effects with ISM PRO."
b047aaef-f3ce-4758-84ea-784ee41026cf,Officiel QI Test,"Promouvoir Officiel QI Test, un service de test de QI en ligne qui évalue l'intelligence de manière innovante et précise.","Dans cette campagne, nous voulons promouvoir Officiel QI Test, un moyen innovant et pratique de mesurer l'intelligence en ligne. Le test évalue le QI à travers quatre dimensions clés : concentration, capacité visuelle, mémoire, et réactivité. Il offre aux utilisateurs une occasion unique d'en apprendre plus sur eux-mêmes et de comprendre leurs forces et faiblesses cognitives. Le but est de montrer comment le test peut être utilisé pour aider à identifier les domaines d'amélioration et à atteindre un développement personnel continu.
"
"7ff00182-260c-44de-ac4a-068ce407e64c",Joko,"Dans cette campagne on commence par un hook où vous mentionnez avoir été influencé par TikTok, avant de donner des précisions sur l'application Joko.","Dans cette campagne on commence par un hook où vous mentionnez avoir été influencé par TikTok, avant de donner des précisions sur l'application Joko."
"77a6babe-ac16-47f6-b39c-799d153700e4",Capture,"Capture is the representation of your real life relationships. No influencers, no brands, no likes, no algorithms – just you and your friends sharing moments of your lives as you live them… with a surprise.","ATTENTION: This collaboration is exclusively for US residents!
Camera :
Capture and share all in just one tap. The fastest way to share what you’re up to with friends…for real.

Feed :
Tilt your phone as you scroll to see what your friends are really up to. When you’ve caught up with the latest Captures, we’ll kindly ask that you turn your phone off and go hang out with friends IRL.

Comments :
There are no likes on Capture so you’ll need to be a little more intentional when reacting to what your friends are sharing."
"29f98a16-dd03-4b4c-8145-2064de159389",Yubo: Make friends in your way,"To create ad video to promote the value of Yubo : ""Yubo is a platform that helps you make friend confidently. Believe in yourself when being friend with your tribe on Yubo"". The ultimate objective is to have user download the app ","Yubo is highlighting its socially responsible approach to networking, ensuring a safe and authentic space for users. With millions of users globally, Yubo helps people make genuine friends through chat and live conversations. In a world where social networking can often feel daunting, Yubo stands out as a beacon of authenticity and safety. We believe in being forever young, curious, and unapologetically ourselves. Yubo is more than just an app; it’s a community where you can express your true colors without being judged—no likes, no shares, no comparisons—and expand your mind through meaningful conversations with people from around the globe.

Why Yubo?

- Authentic and Inspiring: At Yubo, we don't shy away from speaking our minds. Our platform is all about showing our true colors and inspiring others to do the same.
- Safe and Secure: Yubo is dedicated to protecting our users’ values, ensuring a safe and respectful environment for everyone.
- Global Connections: Join live streams, participate in multiple conversations, and share your story with people worldwide. It’s all about connecting, learning, and growing together.
- Forever Young: We believe in staying curious, asking questions, and never losing that sense of wonder. Yubo is a space for young spirits to explore and adapt to new universes."
db609107-3ffa-4835-84dc-5b9bb91e5e90,Joko,"Dans cette campagne un papa se prépare en mode commando pour Black Friday en regardant toutes les offres de mega cashback sur Joko. Il veut faire plein d'économies.

https://www.tiktok.com/@justfabonline/video/7304385152917196078?lang=en","https://www.tiktok.com/@justfabonline/video/7304385152917196078?lang=en

C'est l'inspi mais n'hésitez pas à ajuster un peu le concept selon votre personnalité ! 

Dans cette campagne un papa se prépare en mode commando pour Black Friday en regardant toutes les offres de mega cashback sur Joko. Elle veut faire plein d'économies. "
"1667da39-50b3-404b-a18c-e271460c19ac",CozyCozy,"The only platform with ALL accommodations available, and the only one in the world listing Airbnb offers.","ATTENTION, LE BRIEF EST EN ANGLAIS, MAIS VOUS DEVEZ FOURNIR UNE VIDEO EN FRANCAIS POUR UNE AUDIENCE FRANCAISE
Cozycozy allows travelers to find their perfect stay quickly and easily. With access to over hundreds of booking platforms, including Airbnb, travelers are able to compare prices, locations, and amenities to find the perfect accommodation for their next trip. Cozycozy is free to use and provides easy-to-read and transparent offers, customizable search options, and an instant booking feature. Download the app today and find your perfect stay!"
"84b31102-1ead-400f-ad18-8003960a83fd",Mojo,"Mojo é um aplicativo de criação de conteúdo social projetado para ajudar os usuários a criar Insta Stories, Reels e publicações em redes sociais impressionantes e envolventes.","🚨Para essa colaboração, será solicitado que você replique um dos dois vídeos apresentados no briefing. Especifique sua escolha ao se inscrever. Se você não seguir esse processo, sua inscrição não será aceita."
